ANIO,MES,FECHA,T_INTMOVIL_ITE_VA,K_ENTIDAD,ENTIDAD
2024,12,15/12/2024,91,1,Aguascalientes
2024,12,15/12/2024,107,2,Baja California
2024,12,15/12/2024,120,3,Baja California Sur
2024,12,15/12/2024,109,4,Campeche
2024,12,15/12/2024,108,5,Coahuila de Zaragoza
2024,12,15/12/2024,108,6,Colima
2024,12,15/12/2024,70,7,Chiapas
2024,12,15/12/2024,105,8,Chihuahua
2024,12,15/12/2024,125,9,Ciudad de México
2024,12,15/12/2024,105,10,Durango
2024,12,15/12/2024,89,11,Guanajuato
2024,12,15/12/2024,95,12,Guerrero
2024,12,15/12/2024,110,13,Hidalgo
2024,12,15/12/2024,108,14,Jalisco
2024,12,15/12/2024,107,15,México
2024,12,15/12/2024,104,16,Michoacán de Ocampo
2024,12,15/12/2024,108,17,Morelos
2024,12,15/12/2024,107,18,Nayarit
2024,12,15/12/2024,97,19,Nuevo León
2024,12,15/12/2024,77,20,Oaxaca
2024,12,15/12/2024,93,21,Puebla
2024,12,15/12/2024,103,22,Querétaro
2024,12,15/12/2024,111,23,Quintana Roo
2024,12,15/12/2024,103,24,San Luis Potosí
2024,12,15/12/2024,109,25,Sinaloa
2024,12,15/12/2024,128,26,Sonora
2024,12,15/12/2024,106,27,Tabasco
2024,12,15/12/2024,112,28,Tamaulipas
2024,12,15/12/2024,112,29,Tlaxcala
2024,12,15/12/2024,89,30,Veracruz de Ignacio de la Llave
2024,12,15/12/2024,104,31,Yucatán
2024,12,15/12/2024,97,32,Zacatecas
